name	regex
ABAP	\bABAP\b
Ada	\bAda\b
APL	\bAPL\b
AppleScript	\bAppleScript\b
Assembly	\bAssembly\b
AssemblyScript	\bAssemblyScript\b
Bash	\bBash\b
Brainfuck	\bBrainfuck\b
C	[\s/,;]C[\s/.,;]
C#	\bC#
C++	\bC\+\+
Carbon	\bCarbon\b
Ceylon	\bCeylon\b
CIL	\bCIL\b
Clojure	\bClojure\b
ClojureScript	\bClojureScript\b
CMake	\bCMake\b
COBOL	\b(Cobol|COBOL)\b
CoffeeScript	\bCoffeeScript\b
Coq	\bCoq\b
Crystal	\bCrystal\b
CSS	\bCSS\b
Cypher	\bCypher\b
Cython	\bCython\b
D	\bDlang\b
Dart	\b(Dart|Dartlang)\b
Delphi	\bDelphi\b
Eiffel	\bEiffel\b
Elixir	\bElixir\b
Elm	\bElm\b
Erlang	\bErlang\b
F#	\bF#
Factor	\bFactor\b
Fennel	\bFennel\b
Forth	\bForth\b
Fortran	\bFortran\b
FoxPro	\bFoxPro\b
GameMaker	\bGML\b
GAMS	\bGAMS\b
GDScript	\bGDScript\b
Gherkin	\bGherkin\b
Go	\bGolang\b
GraphQL	\bGraphQL\b
Groovy	\bGroovy\b
Halide	\bHalide\b
Haml	\bHaml\b
Haskell	\bHaskell\b
Haxe	\bHaxe\b
HTML	\bHTML\b
HTML5	\bHTML5\b
Imba	\bImba\b
Janet	\bJanet\b
Java	\bJava\b
JavaScript	\b(JavaScript|Javascript)\b
JSON	\bJSON\b
Julia	\bJulia\b
Kotlin	\bKotlin\b
Kusto	\bKusto\b
LabView	\bLabView\b
LadderLogic	\bLadderLogic\b
LaTeX	\bLaTeX\b
LINGO	\bLINGO\b
Lisp	\b(Lisp|LISP)\b
LiveScript	\bLiveScript\b
Lua	\bLua\b
Luau	\bLuau\b
Markdown	\bMarkdown\b
Marko	\bMarko\b
Mathematica	\bMathematica\b
MATLAB	\b(Matlab|MATLAB)\b
Mint	\bMint\b
Modelica	\bModelica\b
Monkey C	\bMonkey C\b
MoonScript	\bMoonScript\b
MPL	\bMPL\b
NASM	\bNASM\b
NetLogo	\bNetLogo\b
Nim	\bNim\b
Object Pascal	\bObject Pascal\b
Objective-C	\bObjective-C\b
OCaml	\bOCaml\b
Octave	\bOctave\b
Oz	\bOz\b
Pascal	\bPascal\b
Perl	\bPerl\b
PHP	\bPHP\b
PL/SQL	\bPL\/SQL\b
Pony	\bPony\b
PowerShell	\bPowerShell\b
Prolog	\bProlog\b
ProtoBuf	\bProtoBuf\b
Pug	\bPug\b
Puppet	\bPuppet\b
Pure	\bPure\b
PureBasic	\bPureBasic\b
PureScript	\bPureScript\b
Python	\bPython\b
Q	\bQ\b
Qore	\bQore\b
R	[\s/,;]R[\s/.,;]
Racket	\bRacket\b
Reason	\b(Reason|ReasonML)\b
ReScript	\bReScript\b
reStructuredText	\breStructuredText\b
Ruby	\bRuby\b
Rust	\bRust\b
SAS	\bSAS\b
Sass	\bSass\b
Scala	\bScala\b
Scheme	\bScheme\b
SCSS	\bSCSS\b
Shell	\bShell\b
Sieve	\bSieve\b
Smalltalk	\bSmalltalk\b
Solidity	\bSolidity\b
SPARQL	\bSPARQL\b
SQL	\bSQL\b
Stan	\bStan\b
Stylus	\bStylus\b
SVG	\bSVG\b
Swift	\bSwift\b
SystemC	\bSystemC\b
SystemVerilog	\bSystemVerilog\b
Tcl	\b(Tcl|TCL)\b
TeX	\bTeX\b
Textile	\bTextile\b
TOML	\bTOML\b
TypeScript	\b(TypeScript|Typescript)\b
Vala	\bVala\b
VB.NET	\bVB\.NET\b
VBScript	\bVBScript\b
Verilog	\bVerilog\b
VHDL	\bVHDL\b
Visual Basic	\b(Visual Basic|VisualBasic)\b
Visual FoxPro	\bVisual FoxPro\b
WebAssembly	\b(WebAssembly|Web Assembly|Wasm|WASM)\b
XML	\bXML\b
XQuery	\bXQuery\b
YAML	\bYAML\b
Zig	\bZig\b
