backend,back-end
ceo,chief executive officer
coo,chief operating officer
cto,chief technical officer
frontend,front-end
fte,full-time employee
gem,group engineering manager
gm,general manager
gpt,generative pretrained transformer
latam,latin america
nyc,new york city
pm,program manager,product manager
principal,staff
sde,software development engineer
sdet,software development engineer in test
seo,search engine optimization
sre,site reliability engineer
sysadmin,system administrator
tpm,technical program manager
