name	regex
.NET	\.NET\b
ActivityPub	\bActivityPub\b
After Effects	\bAfter Effects\b
Alpine Linux	\bAlpine Linux\b
Android	\bAndroid\b
Angular	\bAngular(JS)?\b
Ansible	\bAnsible\b
Ant	\bAnt\b
Apache	\bApache\b
APFS	\bAPFS\b
Apollo	\bApollo\b
Arch Linux	\bArch Linux\b
Arduino	\bArduino\b
ArgoCD	\bArgoCD\b
Artifactory	\bArtifactory\b
ASP.NET	\bASP\.NET\b
Avro	\bAvro\b
AWS	\b(AWS|Amazon Web Services)\b
Azure	\bAzure\b
Bamboo	\bBamboo\b
BitBucket	\bBitBucket\b
Bitcoin	\bBitcoin\b
Blender	\bBlender\b
Blockchain	\bBlockchain\b
Bootstrap	\bBootstrap\b
Bulma	\bBulma\b
CakePHP	\bCakePHP\b
Cassandra	\bCassandra\b
Ceph	\bCeph\b
Chromium	\bChromium\b
CloudFormation	\bCloudFormation\b
CockroachDB	\bCockroachDB\b
ColdFusion	\bColdFusion\b
Confluence	\bConfluence\b
Cordova	\bCordova\b
CouchDB	\bCouchDB\b
CRISPR	\bCRISPR\b
CRUD	\bCRUD\b
D3	\bD3\b
Debian	\bDebian\b
Deno	\bDeno\b
DirectX	\bDirectX\b
Django	\bDjango\b
Docker	\bDocker\b
Dojo	\bDojo\b
Drupal	\bDrupal\b
Eclipse	\bEclipse\b
Elasticsearch	\bElasticsearch\b
Electron	\bElectron\b
Emacs	\bEmacs\b
Ember	\bEmber\b
Ethereum	\bEthereum\b
Excel	\bExcel\b
Express	\bExpress(JS?)\b
EXT4	\bEXT4\b
FAST	\bFAST\b
Fastify	\bFastify\b
Fedora	\bFedora\b
FFmpeg	\bFFmpeg\b
Figma	\bFigma\b
Final Cut	\bFinal Cut\b
Firebase	\bFirebase\b
Flask	\bFlask\b
Flutter	\bFlutter\b
Framework7	\bFramework7\b
FreeBSD	\bFreeBSD\b
Fresh	\bFresh\b
Gatsby	\bGatsby\b
GCP	\b(GCP|Google Cloud Platform)\b
Gentoo Linux	\bGentoo Linux\b
Git	\bGit\b
GitHub	\bGitHub\b
GitLab	\bGitLab\b
Gnome	\bGnome\b
Godot	\bGodot\b
GraalVM	\bGraalVM\b
Gradle	\bGradle\b
Grafana	\bGrafana\b
Graphene	\bGraphene\b
GraphQL	\bGraphQL\b
gRPC	\bgRPC\b
Gulp	\bGulp\b
Hadoop	\bHadoop\b
HAProxy	\bHAProxy\b
HBase	\bHBase\b
Heroku	\bHeroku\b
Homebrew	\bHomebrew\b
Homebridge	\bHomebridge\b
HTMX	\bHTMX\b
Hyperapp	\bHyperapp\b
InfluxDB	\bInfluxDB\b
Ionic	\bIonic\b
iOS	\biOS\b
IPFS	\bIPFS\b
Jasmine	\bJasmine\b
Jekyll	\bJekyll\b
Jenkins	\bJenkins\b
Jest	\bJest\b
JIRA	\bJIRA\b
Joomla	\bJoomla\b
jQuery	\bjQuery\b
Jupyter	\bJupyter\b
K8s	\b(K8s|Kubernetes)\b
Kafka	\bKafka\b
